"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","dSlJg 2","znYl0","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjW_2hIMYUb97DANHOQjeripzi0INPHsZrjaiX_Atx5LDgdhqK8=w72-h72-p-rp-mo-ba6-br100","Todo Sibuea","Local Guide · 380 reviews · 1,603 photos","","","2 years ago","It has good facilities for holding a seminars or conferences. Mind you, I'm not a student of UKSW. So, I can't comment much about quality of education provided by the campus.","","","Share","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV2Kqg3hVhxqVzTyp6DwoV7H2bQX95ZXUxjNwxwRW_4jy7PHks=w72-h72-p-rp-mo-ba3-br100","Peter Hartanto","Local Guide · 48 reviews · 31 photos","","","7 years ago","Part of UKSW campuses in Kartini st. Office of Faculty of Language and Art (FLL) and FKIK are here.","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJQq_3AGZkFUyyk4pUX3vSWmFxMnnHED--icDG_BtsK0VOWpg=w72-h72-p-rp-mo-ba4-br100","Rudy Siswanto","Local Guide · 113 reviews","","","a year ago","Well","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdRP3afoOuMpLEtCKq9rBZ2m7JKDVsMS4X67wu4l9zH0tIY11s=w72-h72-p-rp-mo-ba5-br100","Natalia","Local Guide · 210 reviews · 1,113 photos","","","a year ago","Part of Satya Wacana Christian University. The place is very clean and tidy.","","","Like","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXoAH7oHvLOZ0c5L51-YGP9JQTlsmcvw6-1Ar97iySc0s4_u7cDzQ=w72-h72-p-rp-mo-ba6-br100","andin af","Local Guide · 216 reviews · 1,698 photos","","","2 years ago","The building is new, the lecturers and staff are very friendly, especially when parents meet, the food is always full and the staff are very busy. The Faculty of Languages ​​and Arts with three Study Programs: English Language Education …","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocL1YI8RmDmOgsEwPuZInYf-aW9sTtZa2n1gnoAotJJLjqHcxQ=w72-h72-p-rp-mo-ba5-br100","Prassetyo Tjepoe","Local Guide · 200 reviews · 609 photos","","","5 years ago","Previously it was called STiBA-SW. Established in 1998. The classrooms are still in the old building at the back. At the end of the period, a new building was built. And now there is building development after purchasing part of the land from Hotel Maya.","","","Like","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocIQPL18IFMTcj30WqLxXFhTMpSUP4OnFJIE5gH0DnsG93Lmng=w72-h72-p-rp-mo-ba8-br100","isywara puraya","Local Guide · 741 reviews · 18,575 photos","","","8 years ago","The one that is permanently closed is STIBA. Now used for the UKSW Faculty of Languages ​​and Literature. Just inaugurated. Part of it (west part) is used for the YPTKSW foundation office.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVNnjKuSZvh4F3qBRChUWWdrfuTtDeMxgkGcBXBP1neuJWiGs6a=w72-h72-p-rp-mo-br100","Dimas Purnama Adi Wicaksono","11 reviews · 1 photo","","","2 years ago","The faculty building is nice, the place is clean, the security guards/officers are also friendly.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUf0C6hCS3-08ScNbEVRmyP3qtdvPNmOyjmUmpMJLBsvphpA8x5=w72-h72-p-rp-mo-ba6-br100","Kukuh Pambuka Putra","Local Guide · 368 reviews · 1,301 photos","","","7 years ago","One of UKSW's new buildings. Comfortable atmosphere.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocJRqJNOtjVnn8UmWvjtSuovakPt-QxQppMCoOHFgQe_slBnDQ=w72-h72-p-rp-mo-ba4-br100","Kis Wono","Local Guide · 99 reviews · 189 photos","","","2 years ago","In the center of Salatiga city","","","Like","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWn76Et9zyPPwr0o3Qjabm95Mlu_fOomxixNIr5138KqK5tUP8a2A=w72-h72-p-rp-mo-ba6-br100","Daniel Kurniawan","Local Guide · 253 reviews · 2,345 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbSv-2qKWtLGIzWT4b_AyGIhZWFgOgiDyB7f4ne9d_i2D74wEC=w72-h72-p-rp-mo-ba4-br100","arum wahyuningsih","Local Guide · 60 reviews · 7 photos","","","6 years ago","The place is clean, comfortable, the people are also friendly","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXgcfOHVAtqnOhgXC35nTV79p-cWLLuOgPpubcYWqyx5TnWQ6xr=w72-h72-p-rp-mo-ba5-br100","Ayoungvet 13","Local Guide · 178 reviews · 670 photos","","","6 years ago","Close to shops....","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUohJ35ZFrYY7dT4g51wQCO8AGv25x4tcKTY2b2pHgMYwKQRLX2=w72-h72-p-rp-mo-br100","Priyo Witanto","1 review","","","5 years ago","The students are beautiful","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXlxZCg8A4aUoj3Phjj7VkeNbKiH8YOqo76x28Z_q_Y0imT12I=w72-h72-p-rp-mo-ba5-br100","Banyu Ibrahim","Local Guide · 171 reviews · 56 photos","","","3 years ago","Best","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWMxq8shaLHs4UEPBJoGvM5rIfMVT0IH5B3zy8b73aD8NYYAOLA=w72-h72-p-rp-mo-br100","Ursuline Pramudita Diningrum","1 photo","","","7 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWY815gKw1u_CdKuR2jnby64_UPDvhk3Dw35VT8RV7vKppQKwb3=w72-h72-p-rp-mo-ba6-br100","Ratih Widhiyandari","Local Guide · 608 reviews · 1,570 photos","","","5 years ago","That's good👍👍 …","","","Like","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVGoqOxny7VaeaZnglYpqyObyvbNWvLKctJQDvuCJyT6bWile5a=w72-h72-p-rp-mo-ba6-br100","HadiArtomo","Local Guide · 386 reviews · 5,016 photos","","","2 years ago","Comfortable campus in Salatiga","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVqUqOYWM8nTfmL2q5Cfr4ccdVt4MqoWrGMnYTKtnGaeQpPBnj7=w72-h72-p-rp-mo-ba4-br100","Dhani Brahmantoro","Local Guide · 171 reviews · 214 photos","","","4 years ago","Learn humanist language","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocLW7X8ZOtvSzK-sMARjVR34hKs9G9qDn66FrueHoHBvh1X3pw=w72-h72-p-rp-mo-ba4-br100","Yudhi Bagong","Local Guide · 115 reviews · 7 photos","","","3 years ago","Excellent","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZjJqXGlbr6DDBxRGyE-daWgDAhkbpWgt0cSb_PgY4lJohOfE=w72-h72-p-rp-mo-ba5-br100","Fajriani Fajriani","Local Guide · 77 reviews · 1,730 photos","","","6 years ago","Just pass by cuuyyy","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocKvWzbSuXzOsHDJJ4sCkuXBrFpy-6iRBRxw00n1DZdAXbrSjw=w72-h72-p-rp-mo-br100","Yuni Sari","1 review","","","4 years ago","Sis, she's cute","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjW46dKF12VCaeDRgVpIypg2EHuYuhdE4qhGwDRqZ-TbqZhbMwygsQ=w72-h72-p-rp-mo-ba6-br100","Anselmus Sudirman","Local Guide · 108 reviews · 4,346 photos","","","5 years ago","Cool","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXmW_9_V_Yg8xvxOKXvIxQcHRxr0-frlVbgStZK3Gg3LwlR8QrwyQ=w72-h72-p-rp-mo-ba4-br100","Agus Arianto","Local Guide · 76 reviews · 110 photos","","","3 weeks ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLEuUvj1DaadEDJ7m7vM_bPdsJf6HuECnB9Mpc3qD0TwpI6bg=w72-h72-p-rp-mo-br100","Yosafat Andrew Gabrian Kameo","","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVV5avQQEZKEwxZ7zNgVRe6qlVaX7vEGkZauQTlmPJqFAFEF3RS=w72-h72-p-rp-mo-br100","adi Prasodjo","2 reviews · 2 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocItHCAKs06uKDETAXVIWSxXkFJPtK4J7w6i2FDWZgNzeK_tkQ=w72-h72-p-rp-mo-br100","akashi sejiro","2 reviews · 3 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUxMDX8OD4pXAPU1lc5c5n38jiJxPe1zKXcKFivrYMmE3fLFJ8=w72-h72-p-rp-mo-ba5-br100","Paulus dwi hananto","Local Guide · 91 reviews · 82 photos","","","2 years ago","","","","","","","",""
