"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","dSlJg 2","znYl0","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjUZwtzao5926O6rbVgXayoFOTAfM-YjtGnZAVRwoHd-8T4qOjM=w72-h72-p-rp-mo-ba6-br100","Suprianto Wila","Local Guide · 197 reviews · 1,393 photos","","","6 years ago","Well organized place, clean and neat. Each floor serves certain necessities. Pay attention to in which room you're/aren't allowed to bring your belongings including food and drinks, lockers are provided. Great security system backed up with surveillance camera, plus they have Lost & Found display right next to the exit door.","","","Share","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJeHhTFl50fslZD3aEDujXmLwZNTts-rVso1ZGqx7-HP4auFw=w72-h72-p-rp-mo-br100","Moon Pie","3 reviews","","","a year ago","I absolutely love the place and their library service is pretty great. The workers/librarians here are literally the nicest, most patient people I’ve ever met hahah. …","","","Share","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7Tqe7W0aRhEsE5-1jTKoNyvXDY3IhmUQZDpApd2sBCXHP7Yrz=w72-h72-p-rp-mo-ba2-br100","Andi Hutomo","Local Guide · 6 reviews · 13 photos","","","7 years ago","Great options to study quietly. It has some room for discussion too. At third floor you can't bring your bag inside, but it provide locker to keep your bag safe. I give 4 stars because campus's free wifi signal is not so good here.","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWCVXkjAg5mbJVwNlrVOtfBUWi37MLw1EeFvCg_m75_3-mohe4M=w72-h72-p-rp-mo-ba4-br100","Arya Adikristya","Local Guide · 131 reviews · 182 photos","","","6 years ago","The library has a complete collection. You can find quiet yet hidden spot inside the library.","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWCJAaGkgYxCrVzarUD4MUblySyrlZgFVDWJWagP9Thyk3bt3ak=w72-h72-p-rp-mo-ba3-br100","Fandy","Local Guide · 70 reviews · 44 photos","","","4 years ago","I love this place.. Have so much interesting books","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX2tiK5FszhxGZ8Rn8vdxxeP75-4HU7NbmpTzk48bBI3IVew4eX=w72-h72-p-rp-mo-ba3-br100","hari satriyanto","Local Guide · 31 reviews · 43 photos","","","7 years ago","Well managed library!","","","Share","Like","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX46DqJgNN8WcDUYxSFrRGsq5ZHP2R13OqQf-NF8k3TdE_j2u9U=w72-h72-p-rp-mo-ba2-br100","reginavironica wendi","Local Guide · 9 reviews · 29 photos","","","2 years ago","The best place to study, do assignments, work on work, or work on a thesis 👍🏻👍🏻
The book/reference collection is complete, both books in Indonesian, English and journals. …","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWUU93wtAyRVvlWhC0V8t9bbtrt35-K56dwTE5nGyL50e-ZZXg=w72-h72-p-rp-mo-ba5-br100","Pegi Mulu","Local Guide · 116 reviews · 516 photos","","","7 years ago","Satya Wacana Christian University Library, Salatiga, is quite an interesting place to visit for those seeking knowledge, judging by the location, it is also comfortable for studying, clean. Facilities starting from air-conditioned rooms, …","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVxpc4ULQOQjh4JeUFFtHsYSupizIPB0V6QOble3PUdKiqJQ865=w72-h72-p-rp-mo-ba4-br100","Owena Ardra","Local Guide · 121 reviews · 32 photos","","","a year ago","It is very comfortable to study and work here. The place is spacious, quiet too. You must enter using your student identification number.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVBSO9je4bFEMqugGgExqBIusu4vYDs0g2zk_QoDheDrVOKN7_f=w72-h72-p-rp-mo-ba5-br100","Esther Celine","Local Guide · 169 reviews · 199 photos","","","4 years ago","Quite a complete collection of books. And there are many room facilities for doing assignments or reading books, from those with strict rules to those that allow eating and drinking","","","Share","Like","Translated by Google","・","See original (Indonesian)"
