"NBa7we src","d4r55","fzvQIb","xRkPPb","qmhsmd","ARRgmb src","wiI7pd","RfnDt","eaLgGf","dSlJg","dSlJg 2","znYl0","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/local-reviews/AJMZ0Qd0Gzx7-o-W0qn7F-oHhorx-ann6UFYRniBmE7Ar1MhRFtO-x6vY7U2LNCPC1lcQidkpw=w72-h72-p-rp-br100","Petehboon","4/5","5 years ago on","Tripadvisor","https://www.gstatic.com/travel-hotels/branding/icon_100532569.png","This hotel is comfortably located in the centre of the city, on walking distance from KaféOlé restaurant, alun-alun and many shops. Rooms offer basic comfort and breakfast is simple and good. Staff is very friendly and offered great help with our transport issue. Great value as well. Well recommended!","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXhtnVtrs-01GXXzfgK5TLLrQCf8xdvCSuElcf698sWS5SZU7vR=w72-h72-p-rp-mo-ba4-br100","Kaleb Nugraha Riva","4/5","5 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Just fair, the room is quite clean. There's a small bathroom inside every room. The receptionist holds her cordiality in serving the guests. It can be the best choice for a short visit in Salatiga. …","Local Guide · 74 reviews · 342 photos","","","","Share","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVaL1jmDrfUBkVwGysr4QAxCMPaKxwAMGeeK-mLu9GlhmLJi7CBoA=w72-h72-p-rp-mo-ba5-br100","Ida Bagus Alit Budi Utama","3/5","3 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Some rooms are new design and some of rooms are not quite clean and has an old dirty bathtub rusty humid door bathroom. Told the staff and try to clean the bathroom properly but it's just not right. Other than that was OK.","Local Guide · 162 reviews · 949 photos","","","","Like","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmoeRzx7LlkZQO0T9AicSdOQLZi5KCysYP4tue7JPIM_FM7zg0=w72-h72-p-rp-mo-ba4-br100","Kiki Mewengkang","4/5","4 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","I always choose this place everytime I go to Salatiga.
The room is quite nice and very reasonable price.
It's 5-minute walk from Alun-alun Salatiga and close to UKSW. …","Local Guide · 104 reviews · 49 photos","","","","","Share","","",""
"https://lh3.googleusercontent.com/local-reviews/AJMZ0QeFH6dzZjd_ZFLhXHZKibEzXEy8hWzFB4Qa7PutLe3CnO2G7yVfjd4VSabiCQwQYo5W-g=w72-h72-p-rp-br100","StayhereStaythere","3/5","7 years ago on","Tripadvisor","https://www.gstatic.com/travel-hotels/branding/icon_100532569.png","This is a great place with simple rooms all with ensuite. Best suited to students. Breakfast provided daily. Comfortable amenities. Close to UKSW. Laundry can also be arranged to be done through front desk. Staff are very helpful.","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW5q2s-VV94iA6Zwfd-ZQ9HnLi5d5-D5FVPgzFWPCkH0KrEJzzUlg=w72-h72-p-rp-mo-ba4-br100","Tan Christhoper","3/5","6 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Im using the cheapest room.
Well for such a place, it was so so experience. The service could be better but it did not. Well its a lil bit pricey for around $12 in salatiga but i guess …","Local Guide · 49 reviews · 88 photos","","","","Like","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXvTG7O4cbCjoVzrHT3DRHWcdN1rxiJnQveMY4q59LZNoVVyc0-7w=w72-h72-p-rp-mo-ba4-br100","Eleazar Moeljono","2/5","7 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","At first I thought the hotel was great. But then everything was ruined by the service! AC remote was wet, the room was damp, and the bathroom was even worse! Better book other hotel than this.","Local Guide · 147 reviews · 227 photos","","","","Share","Like","","",""
"https://lh3.googleusercontent.com/local-reviews/AJMZ0QeCck1CfANpZm9bBk3PHtP97Kh9k25HZfvq9yAWlN3BaIyjSHUPEfWkhAJmuYiJsH-_6g=w72-h72-p-rp-br100","Trip.com Member","4/5","9 months ago on","Trip.com","https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png","Next, tha staff should make sure that the bathroom can be unlocked.","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWXCEehRHYBLOeOivNYsA5ja7yeaWxj9pmMAtMkZ4dBHUGibEYq=w72-h72-p-rp-mo-ba4-br100","Charlie Sanjaya","4/5","6 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","The Dutch architecture is charming, the facilities are working as they should. I think it's a good option for families who stay in salatiga for graduation day.","Local Guide · 89 reviews · 35 photos","","","","Like","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXeJWFC3BQkV0adwrVC46Md_ePTCwgqjDruEvloFCvmcBik9rrv=w72-h72-p-rp-mo-br100","Esther Limpeleh","4/5","6 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Good place to rest, but not quite big for 3 people (max 2 or maybe even 1), free breakfast, sometimes full booked (especially when uksw held an event)","10 reviews","","","","Like","Share","","",""
