Source,Name,Status,Date,Review,Place,cleaned_review,cleaned_review_indo,token,joined_token,label
https://lh3.googleusercontent.com/a-/ALV-UjWbjdroGtKc6WSORU_ST3VZRmTxz2Hyg31f2pNWZdJL525mHwE=w72-h72-p-rp-mo-ba5-br100,Henry Palandeng,"Local Guide Â· 194 reviews Â· 1,107 photos",a year ago,Lovely place and they preparing fo the new study programme,Asrama UKSW,lovely place and they preparing fo the new study programme,tempat yang indah dan mereka mempersiapkan program studi baru,"['tempat', '', 'indah', '', '', 'siap', 'program', 'studi', 'baru']",tempat  indah   siap program studi baru,Positive
https://lh3.googleusercontent.com/a-/ALV-UjVyKDsYmSJ11CAxDxasTnSg8XtPaBdyNkIsT3rpHrKwkrBtaXYu=w72-h72-p-rp-mo-ba5-br100,Banizman Zai,Local Guide Â· 576 reviews Â· 503 photos,3 months ago,Good,Asrama UKSW,good,Bagus,['bagus'],bagus,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUsrPmkASBej-Sm043U0Tij6BKHOAuD7L0VoftjIHxHW53tiXSg=w72-h72-p-rp-mo-ba5-br100,Eder Timanta Sitepu,"Local Guide Â· 180 reviews Â· 1,171 photos",2 years ago,"End of 2015 Stayed at this hostel for 1 week. At that time, I stayed at this place because I was taking part in one of PERSETIA's activities, namely the National Consultation for Theological Students. This place is quite comfortable with â¦",Asrama UKSW,end of stayed at this hostel for week at that time i stayed at this place because i was taking part in one of persetias activities namely the national consultation for theological students this place is quite comfortable with,Akhir dari tinggal di asrama ini selama seminggu pada waktu itu saya tinggal di tempat ini karena saya mengambil bagian dalam salah satu kegiatan persetia yaitu konsultasi nasional untuk siswa teologis tempat ini cukup nyaman dengannya,"['akhir', '', 'tinggal', '', 'asrama', '', 'lama', 'minggu', '', 'waktu', '', '', 'tinggal', '', 'tempat', '', '', '', 'ambil', 'bagi', '', 'salah', 'satu', 'giat', 'setia', '', 'konsultasi', 'nasional', '', 'siswa', 'teologis', 'tempat', '', 'cukup', 'nyaman', 'dengan']",akhir  tinggal  asrama  lama minggu  waktu   tinggal  tempat    ambil bagi  salah satu giat setia  konsultasi nasional  siswa teologis tempat  cukup nyaman dengan,Positive
https://lh3.googleusercontent.com/a-/ALV-UjULL0dQiaICMjpgFkoMU5kqKrB2_ZaUjxBhhhpo0Z9uCnnb792F5Q=w72-h72-p-rp-mo-ba5-br100,Marlia Prasetyo,Local Guide Â· 88 reviews Â· 494 photos,a year ago,"The guesthouse has been renovated, clean, beautiful and quiet. Wide parks and roads.",Asrama UKSW,the guesthouse has been renovated clean beautiful and quiet wide parks and roads,Guesthouse telah direnovasi taman dan jalan yang indah dan tenang dan tenang,"['guesthouse', '', 'renovasi', 'taman', '', 'jalan', '', 'indah', '', 'tenang', '', 'tenang']",guesthouse  renovasi taman  jalan  indah  tenang  tenang,Positive
https://lh3.googleusercontent.com/a-/ALV-UjW5YRySDsfSBlTlZhsPcpO5K9R6ox30Lhd2B3z5j_WF9vOtB-ZS7w=w72-h72-p-rp-mo-ba6-br100,sriwidiyastuti tuti,"Local Guide Â· 59 reviews Â· 2,213 photos",3 years ago,"The air in the hostel is cool, the atmosphere is calm, the sports facilities are complete. 160522",Asrama UKSW,the air in the hostel is cool the atmosphere is calm the sports facilities are complete,Udara di asrama sangat dingin suasana tenang fasilitas olahraga selesai,"['udara', '', 'asrama', 'sangat', 'dingin', 'suasana', 'tenang', 'fasilitas', 'olahraga', 'selesai']",udara  asrama sangat dingin suasana tenang fasilitas olahraga selesai,Positive
https://lh3.googleusercontent.com/a-/ALV-UjVqUqOYWM8nTfmL2q5Cfr4ccdVt4MqoWrGMnYTKtnGaeQpPBnj7=w72-h72-p-rp-mo-ba4-br100,Dhani Brahmantoro,Local Guide Â· 171 reviews Â· 214 photos,a year ago,"When you come at night, the vibes are no medicine",Asrama UKSW,when you come at night the vibes are no medicine,"Saat Anda datang di malam hari, getaran itu bukan obat","['saat', 'anda', 'datang', '', 'malam', 'hari', 'getar', '', 'bukan', 'obat']",saat anda datang  malam hari getar  bukan obat,Negative
https://lh3.googleusercontent.com/a-/ALV-UjWqRvRe7LTOXBzC0XLchP3tOLIGPlLanggFfnBjY6XOFvowI2azWA=w72-h72-p-rp-mo-ba3-br100,Juju,Local Guide Â· 15 reviews Â· 61 photos,2 years ago,"Children from the region must go to boarding school, let them live full of drama",Asrama UKSW,children from the region must go to boarding school let them live full of drama,Anak -anak dari wilayah harus pergi ke sekolah asrama membiarkan mereka hidup penuh drama,"['anak', '-anak', '', 'wilayah', '', 'pergi', '', 'sekolah', 'asrama', 'biar', '', 'hidup', 'penuh', 'drama']",anak -anak  wilayah  pergi  sekolah asrama biar  hidup penuh drama,Negative
https://lh3.googleusercontent.com/a/ACg8ocKskJJmatfmlGMYAoFMOdY2B3PbLDEWBe8vBUjvComNqAyuKg=w72-h72-p-rp-mo-br100,Kristy Priska Sari,2 reviews,a year ago,"The place is nice, comfortable, and safe",Asrama UKSW,the place is nice comfortable and safe,Tempatnya nyaman dan aman,"['tempat', 'nyaman', '', 'aman']",tempat nyaman  aman,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUN6ANea97LUnwpL8DW6_4fQnXi9gW1yNtpe1VVm26xEHWjj6MW=w72-h72-p-rp-mo-br100,Yordi Frans,9 reviews,3 years ago,The UKSW dormitory is a very impressive and comfortable place,Asrama UKSW,the uksw dormitory is a very impressive and comfortable place,Asrama UKSW adalah tempat yang sangat mengesankan dan nyaman,"['asrama', 'uksw', '', 'tempat', '', 'sangat', 'kesan', '', 'nyaman']",asrama uksw  tempat  sangat kesan  nyaman,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUiMw1DLlpBuSYMnx-qRptL0OsqmHC3zxyGPJzQfiaAu8DUTnEw=w72-h72-p-rp-mo-br100,Juatno Pendung,4 reviews,10 months ago,Comfortable,Asrama UKSW,comfortable,nyaman,['nyaman'],nyaman,Positive
https://lh3.googleusercontent.com/a-/ALV-UjX9O9NI57XOxmi39jL70jtf9G7lW279fZ5bxKpMbrqBksSBA5uN=w72-h72-p-rp-mo-ba4-br100,Shy Cracker,Local Guide Â· 46 reviews Â· 7 photos,7 years ago,"Excellent Fast Services and Transaction, Good Services and Nice Bank teller.",BNI UKSW,excellent fast services and transaction good services and nice bank teller,Layanan cepat dan transaksi yang sangat baik layanan yang baik dan teller bank yang bagus,"['layan', 'cepat', '', 'transaksi', '', 'sangat', 'baik', 'layan', '', 'baik', '', 'teller', 'bank', '', 'bagus']",layan cepat  transaksi  sangat baik layan  baik  teller bank  bagus,Positive
https://lh3.googleusercontent.com/a/ACg8ocJyK_c2PrClc7x_iyP8YCZaYjtE1fDWcSNEy-vg0qPo9cpK2g=w72-h72-p-rp-mo-br100,Nnaczkk Nnaczkk,5 reviews,4 years ago,CS quality is not good,BNI UKSW,cs quality is not good,Kualitas CS tidak bagus,"['kualitas', 'cs', '', 'bagus']",kualitas cs  bagus,Positive
https://lh3.googleusercontent.com/a-/ALV-UjWAI59SedecXJpL6NV1Tf0w5r3J9LEOCGQpFGGPD-O6QkPazfgi=w72-h72-p-rp-mo-br100,haiban nazir,11 reviews Â· 6 photos,3 years ago,"The young security guard himself was not polite. I came at half past 7 and the guy was chatting with a female customer. Looked at me for a moment but pretended not to see me. Asked to be nice, just asking for a queue, instead I was told to â¦",BNI UKSW,the young security guard himself was not polite i came at half past and the guy was chatting with a female customer looked at me for a moment but pretended not to see me asked to be nice just asking for a queue instead i was told to,"Penjaga keamanan muda itu sendiri tidak sopan, saya datang setengah masa lalu dan pria itu mengobrol dengan seorang pelanggan wanita menatap saya sejenak tetapi berpura -pura tidak melihat saya diminta untuk bersikap baik hanya meminta antrian sebagai gantinya saya diberitahu untuk","['jaga', 'aman', 'muda', '', 'sendiri', '', 'sopan', '', 'datang', 'tengah', 'masa', 'lalu', '', 'pria', '', 'obrol', '', 'orang', 'langgan', 'wanita', 'tatap', '', 'jenak', '', 'pura', '-pura', '', 'lihat', '', '', 'sikap', 'baik', '', 'antri', '', 'ganti', '', 'diberitahu', '']",jaga aman muda  sendiri  sopan  datang tengah masa lalu  pria  obrol  orang langgan wanita tatap  jenak  pura -pura  lihat   sikap baik  antri  ganti  diberitahu ,Negative
